"Root","根"
"Add Attribute Set","添加属性集"
"Attribute Sets","属性集"
"Close Window","关闭窗口"
"New Product","新产品"
"Save & Edit","保存与编辑"
"Save & New","保存与新"
"Save & Duplicate","保存与重复"
"Save & Close","保存和关闭"
"Attributes","属性"
"Change","更改"
"Advanced Inventory","库存状况"
"Websites","网站"
"Products Information","产品信息"
"Category Name","类别名称"
"Parent Category","父类别"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>."
"We saved the price alert subscription.","我们保存价格警报订阅。"
"We saved the stock notification.","我们保存库存的通知。"
"There are no customers for this alert.","没有客户此警报。"
"First Name","姓"
"Last Name","姓"
"Email","邮箱"
"Subscribe Date","订阅日期"
"Last Notified","最后通知"
"Send Count","发送计数"
"New Attribute","新的属性"
"Type","类型"
"Attribute Set","属性集"
"Status","状态"
"Visibility","可见性"
"Add New Option","添加新选项"
"Import Options","导入选项"
"Use Default","使用默认"
"Import","导入"
"Add New Row","添加新行"
"Delete Row","删除行"
"Tier Pricing","层级价格"
"Default Price","默认价格"
"All Websites","所有网站"
"ALL GROUPS","有货"
"Add Price","添加价格"
"Default Values","默认值"
"Related Products","超售"
"Up-sells","向上销售"
"Cross-sells","交叉销售"
"Size for %1","大小为 %1 的"
"Watermark File for %1","%1 的水印文件"
"Position of Watermark for %1","%1 的水印的位置"
"Name in %1","在 %1 的名字"
"Quantity","数量"
"Edit","编辑"
"Are you sure?","您确定吗？"
"Change Status","更改状态"
"Update Attributes","更新属性"
"Images and Videos","图像和视频"
"Click here or drag and drop to add images.","制造基地"
"Delete image","删除图像"
"Make Base","设为原始"
"Hidden","从产品页隐藏"
"start typing to search category","开始键入搜索类别"
"New Category","新的类别"
"Images (.gif, .jpg, .png)","取消可见"
"Add New Images","添加新的图像"
"Inc. Tax","公司税"
"Does this have a weight?","这有一个重量?"
"Product","产品"
"Notify Low Stock RSS","低库存RSS通知"
"Low Stock Products","低库存产品"
"%1 has reached a quantity of %2.","%1 已经到达 %2 的一个数量。"
"Home","首页"
"Go to Home Page","前往主页"
"Subscribe to RSS Feed","订阅 Rss"
"Products Comparison List","产品比较列表。"
"N/A","N/A"
"AM","上午"
"PM","下午"
"-- Please Select --","-- 请选择 --"
"None","无"
"New Products from %1","%1 的新产品"
"New Products","新产品"
"%1 - Special Products","%1-特殊产品"
"Click for price","单击获取价格"
"Special Expires On: %1","特别到期日期: %1"
"Price: %1","价格: %1"
"Special Price: %1","特价: %1"
"Special Products","特殊产品"
"You deleted the category.","您删除该类别。"
"Something went wrong while trying to delete the category.","在试图删除该类别时出了错。"
"Categories","分类"
"Manage Catalog Categories","管理目录类别"
"Manage Categories","管理类别"
"Category is not available for requested store.","类别不是可用于请求的存储区。"
"There was a category move error.","出现了一个类别移动错误。"
"There was a category move error. %1","出现了一个类别移动错误。%1"
"You moved the category","你移动的类别"
"Attribute ""%1"" is required.","""%1""属性是必需的。"
"Something went wrong while saving the category.","保存该类别时出了错。"
"You saved the category.","你保存的类别。"
"Please select products for attributes update.","请选择产品更新属性。"
"Please make sure to define SKU values for all processed products.","请务必定义所有加工产品的 SKU 值。"
"A total of %1 record(s) were updated.","更新记录 %1"
"Something went wrong while updating the product(s) attributes.","在更新的产品属性时出了错。"
"Catalog","目录重写"
"Manage Product Attributes","管理产品属性"
"We can't delete the attribute.","我们不能删除该属性。"
"You deleted the product attribute.","你删除的产品属性。"
"We can't find an attribute to delete.","我们找不到要删除的属性。"
"This attribute no longer exists.","此属性不再存在。"
"This attribute cannot be edited.","不能编辑此属性。"
"Edit Product Attribute","编辑产品属性"
"An attribute set named '%1' already exists.","属性集，名为""%1""已经存在。"
"Something went wrong while saving the attribute.","保存该属性时，出了错。"
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"We can't update the attribute.","我们不能更新的属性。"
"You saved the product attribute.","你保存的产品属性。"
"An attribute with this code already exists.","这段代码的属性已经存在。"
"An attribute with the same code (%1) already exists.","已经存在具有相同的代码 (%1) 的属性。"
"You duplicated the product.","你复制的产品。"
"This product no longer exists.","此产品不再存在。"
"Products","产品展示"
"A group with the same name already exists.","具有相同名称的组已存在。"
"Something went wrong while saving this group.","保存该组时出了错。"
"A total of %1 record(s) have been deleted.","已经删除 %1的记录"
"A total of %1 record(s) have been updated.","已经更新 %1的记录"
"Something went wrong while updating the product(s) status.","更新产品状态时出了错。"
"Unable to save product","无法保存产品"
"You saved the product.","你保存的产品。"
"SKU for product %1 has been changed to %2.","为产品 %1 SKU 已改为 %2。"
"The image cannot be removed as it has been assigned to the other image role","图像不能删除，因为它已被分配给其他图像作用"
"New Attribute Set","新的属性集"
"The attribute set has been removed.","已删除的属性集。"
"We can't delete this set right now.","我们现在不能删除这一套。"
"New Set","新集"
"Manage Product Sets","管理产品集"
"Manage Attribute Sets","管理属性集"
"This attribute set no longer exists.","此属性设置不再存在。"
"You saved the attribute set.","你保存的属性集。"
"Something went wrong while saving the attribute set.","保存属性集时出了错。"
"You added product %1 to the comparison list.","你添加产品 %1 到比较列表中。"
"You cleared the comparison list.","你清除了比较列表。"
"Something went wrong  clearing the comparison list.","什么地方出毛病结算比较列表。"
"You removed product %1 from the comparison list.","您从比较列表中删除产品 %1。"
"1 item","产品 %1"
"%1 items","%1 项目"
"Invalid attribute %1","无效属性 %1"
"Grid","%1及以上"
"List","列表"
"All","全部"
"Product is not loaded","产品未加载"
"Bad controller interface for showing product","坏的控制器接口，用于显示产品"
"Make sure the To Date is later than or the same as the From Date.","请确保对日期迟于或从日期相同。"
"Sorry, but we can't find the new parent category you selected.","抱歉，但我们找不到您选择的新的父类别。"
"Sorry, but we can't find the new category you selected.","抱歉，但我们找不到您选择的新类别。"
"We can't move the category because the parent category name matches the child category name.","我们无法移动的类别，因为父类别名称匹配的子类别名称。"
"Can't delete root category.","不能删除根类别。"
"The value of attribute ""%1"" must be unique.","""%1""属性的值必须是唯一的。"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","可用的产品清单进行排序中不存在默认产品清单排序的。"
"No layout updates","没有布局更新"
"Products only","仅产品"
"Static block only","只有静态模块"
"Static block and products","静态模块和产品"
"Please select a static block.","请选择静态模块。"
"frontend_label","frontend_label"
"Could not save product ""%1"" with position %2 to category %3","无法保存产品""%1""与位置到类别 %3 %2"
"Category does not contain specified product","类别不包含指定的产品"
"Could not save product ""%product"" with position %position to category %category","无法保存产品""%product""与位置到类别 %category %position"
"Operation do not allow to move a parent category to any of children category","操作不允许移动到任子类别的父类别"
"Could not move category","不能移动类别"
"Could not save category: %1","不能保存类别: %1"
"Cannot delete category with id %1","不能删除类别与 id %1"
"-- Please Select a Category --","— — 请选择一个类别 — —"
"Grid Only","仅限于网格"
"List Only","只有列表"
"Grid (default) / List","网格 (默认值) / 列表"
"List (default) / Grid","列表 (默认值) / 网格"
"Automatic (equalize price ranges)","自动 (均衡价格范围)"
"Automatic (equalize product counts)","自动 (均衡产品计数)"
"Manual","手动"
"Fixed","百分之"
"Percent","%"
"-- Please select --","-- 请选择 --"
"Product Thumbnail Itself","产品缩略图本身"
"Parent Product Thumbnail","父级产品缩略图"
"12h AM/PM","12h 上午/下午"
"24h","24小时"
"Stretch","拉伸"
"Tile","平铺"
"Top/Left","上方/左方"
"Top/Right","上, / 右"
"Bottom/Left","下, / 左"
"Bottom/Right","下方/右方"
"Center","居中"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 并不延伸 \Magento\Framework\Model\AbstractModel"
"Unknown EAV indexer type ""%1"".","未知的 EAV 索引器类型""%1""。"
"We can't rebuild the index for an undefined product.","我们不能重建索引未定义的产品。"
"Bad value was supplied.","提供的值不正确。"
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","平面目录模块的 %2$d 过滤和/或可排序属性的限制。目前有 %1$d 人。请减少可筛选排序属性以使用此模块"
"Unsupported product type ""%1"".","不受支持的产品类型""%1""。"
"Please correct the category.","请更正该类别。"
"Must be category model instance or its id.","必须是类别模型实例或其 id。"
"The attribute model is not defined.","未定义的属性模型。"
"Category","类别"
"%1 - %2","1%-%2"
"%1 was not found in algorithms","算法中找不到 %1"
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 不延长 \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 并不延伸 \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"The filter must be an object. Please set the correct filter.","筛选器必须是一个对象。请设置正确的筛选器。"
"Clear Price","明确价格"
"%1 and above","%1 及以上"
"The filters must be an array.","过滤器必须是一个数组。"
"The image does not exist.","不存在的图像。"
"Please correct the image file type.","请纠正图像文件类型。"
"We couldn't move this file: %1.","我们不能移动这个文件: %1。"
"Group price must be a number greater than 0.","组价格必须是大于 0 的数字。"
"We couldn't copy file %1. Please delete media with non-existing images and try again.","我们不能复制文件 %1。请删除媒体与非存在的图像，然后重试。"
"Media Gallery converter should be an instance of EntryConverterInterface.","媒体剪辑库转换器应该是 EntryConverterInterface 的一个实例。"
"There is no MediaGalleryEntryConverter for given type","有是没有 MediaGalleryEntryConverter，对于给定类型"
"Please enter a number 0 or greater in this field.","请在该字段中输入有效数字。"
"The value of attribute ""%1"" must be set","""%1""属性的值必须设置"
"SKU length should be %1 characters maximum.","SKU 长度应该是最多 %1 个字符。"
"Please enter a valid number in this field.","请在此字段中输入一个有效的数字。"
"We found a duplicate website, tier price, customer group and quantity.","我们发现重复的网站、 层价格、 客户组和数量。"
"Invalid option id %1","无效的选项 id %1"
"Can not create attribute set based on non product attribute set.","不能创建基于非产品属性集的属性集。"
"Can not create attribute set based on not existing attribute set","不能创建基于不存在的属性集属性设置"
"Provided Attribute set non product Attribute set.","提供属性设置非产品属性集。"
"Use config","用户配置"
"Enabled","启动"
"Disabled","禁用"
"Attribute Set already exists.","属性集已存在。"
"Requested product does not support images.","要求的产品不支持图像。"
"The image content is not valid.","图像内容是无效的。"
"Cannot save product.","无法保存产品。"
"Failed to save new media gallery entry.","无法保存新媒体库条目。"
"There is no image with provided ID.","没有图像提供 id。"
"Such product doesn't exist","这种产品并不存在"
"Such image doesn't exist","这种图像并不存在"
"We can't find the image file.","我们找不到该图像文件。"
"The option type to get group instance is incorrect.","要获取组实例的选项类型不正确。"
"Select type options required values rows.","选择类型选项所需的值的行。"
"Could not save product option","无法保存产品选项"
"Could not remove custom option","无法删除自定义选项"
"Please specify date required option(s).","请指定日期所需选项。"
"Please specify time required option(s).","请指定所需的时间选项。"
"Please specify product's required option(s).","请指定产品必要的选项。"
"The option instance type in options group is incorrect.","选项组中的选项实例类型不正确。"
"The product instance type in options group is incorrect.","选项组中的产品实例类型不正确。"
"The configuration item option instance in options group is incorrect.","在选项组中的配置项目选项实例是不正确的。"
"The configuration item instance in options group is incorrect.","在选项组中的配置项目实例是不正确的。"
"The BuyRequest instance in options group is incorrect.","在选项组中的购买请求实例是不正确的。"
"We can't add the product to the cart because of an option validation issue.","我们不能因为选项验证问题，将产品添加到购物车。"
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 并不延伸 \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"The file options format is not valid.","文件选项格式不是有效的。"
"px.","全部展开"
"The file '%1' for '%2' has an invalid extension.","'%2' '%1' 的文件具有无效的扩展名。"
"The maximum allowed image size for '%1' is %2x%3 px.","允许的最大图像大小为 '%1' %2x%3 px。"
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","'%1' 你上传文件大于我们的服务器所允许的 %2 兆字节。"
"The file '%1' is empty. Please choose another one","'%1' 文件是空的。请选择另一个"
"The file '%1' is invalid. Please choose another one","文件 '%1' 是无效的。请选择另一个"
"File '%1' is not an image.","文件 '%1' 不是图像。"
"Validation failed. Required options were not filled or the file was not uploaded.","验证失败。不填充所需的选项或不上载文件。"
"The file you uploaded is larger than %1 Megabytes allowed by server","你上传的文件大于 %1 服务器所允许的兆字节"
"Option required.","所需的选项。"
"The file is empty. Please choose another one","该文件是空的。请选择另一个"
"Some of the selected item options are not currently available.","选定的项选项中有一些不当前可用。"
"The text is too long.","文本太长。"
"This product doesn't have tier price","这种产品没有一级价格"
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","产品还没有与此类数据组价格: customerGroupId = '%1'，网站 = %2，数量 = %3"
"Invalid data provided for tier_price","为 tier_price 提供的数据无效"
"Please provide valid data","请提供有效的数据"
"Values of following attributes are invalid: %1","下列属性的值是无效的: %1"
"Could not save group price","无法保存组价格"
"We can't create writeable directory \"%1\".","我们不能创建可写的目录 \"%1\"。"
"The file upload failed.","文件上载失败。"
"The product has required options.","该产品具有要求的选项。"
"Something went wrong while processing the request.","处理请求时出了错。"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 并不延伸 \Magento\Catalog\Model\Product\Type\AbstractType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 并不延伸 \Magento\Catalog\Model\Product\Type\Price"
"Not Visible Individually","不可见单独"
"Search","搜索"
"Catalog, Search","目录搜索"
"Something went wrong while removing products from the websites.","从网站删除产品时，出了错。"
"Something went wrong while adding products to websites.","向网站中添加产品时出了错。"
"Group with id ""%1"" does not exist.","Id 为""%1""组不存在。"
"Attribute group that contains system attributes can not be deleted","不能删除包含系统属性的属性组"
"Collection provider is not registered","集合提供程序没有注册"
"Unknown link type: %1","未知的链接类型: %1"
"Provided link type ""%1"" does not exist","提供的链接类型""%1""不存在"
"Invalid data provided for linked products","为链接的产品提供的数据无效"
"Product with SKU %1 is not linked to product with SKU %2","产品与 SKU %1 未链接到产品 SKU %2"
"Product %1 doesn't have linked %2 as %3","产品% 1没有% 2的% 3"
"Requested product doesn't exist","要求的产品不存在"
"Product option with id %1 does not exist","与 id %1 的产品选项不存在"
"Product with SKU ""%1"" does not exist","产品与 SKU""%1""不存在"
"Invalid product data: %1","无效的产品数据: %1"
"Unable to remove product %1","无法删除产品 %1"
"There are not websites for assign to product","不是分配给产品的网站"
"Could not assign product ""%1"" to websites ""%2""","不能分配给网站""%2""的产品""%1"""
"Could not save product ""%1"" with websites %2","无法保存产品""%1""的网站 %2"
"Attribute '%1' is locked. %2","属性 '%1' 被锁定。%2"
"Do not change the scope. %1","请不要更改范围。%1"
"A product type is not defined for the indexer.","产品类型未定义为索引器。"
"%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice","%1 不延长 \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice"
"Multiple Select","多选"
"Dropdown","下拉"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 不延长 \Magento\Framework\Filter\Template"
"As low as","低至"
"message","信息"
"fl","fl"
"123","123"
"Select...","选择。。。"
"Are you sure you want to delete this category?","你确定要删除这个分类吗？"
"ID: %1","ID: %1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","在 <a href=""%1""> 配置</a> 中设置为此存储根类别。"
"This operation can take a long time","此操作可能需要很长时间"
"Collapse All","全部折叠"
"Expand All","全部展开"
"Please confirm site switching. All data that hasn't been saved will be lost.","请确认站点切换。尚未保存的所有数据将都会丢失。"
"Use Default Value","使用默认值"
"Manage Titles (Size, Color, etc.)","管理标题 (大小、 颜色等)"
"Manage Options (values of your attribute)","管理选项 (您的属性值)"
"Is Default","为默认值"
"Add Option","添加选项"
"Sort Option","排序选项"
"Groups","团体"
"Double click on a group to rename it.","双击组重命名它。"
"Unassigned Attributes","未分配的属性"
"A name is required.","名称是必需的。"
"This group contains system attributes. Please move system attributes to another group and try again.","此组包含系统属性。请将系统属性移动到另一个组，然后重试。"
"Please enter a new group name.","请输入一个新的组名称。"
"An attribute group named \"/name/\" already exists\".","属性组""已经 exists\"命名为 \"/name/\。"
"Sorry, we're unable to complete this request.","对不起，我们无法完成这个请求。"
"You can't remove attributes from this attribute set.","你不能移除此属性集的属性。"
"Custom Options","自定义选项"
"This is a required option.","这是必需的选项。"
"The field isn't complete.","该字段不是完整的。"
"Compatible file extensions to upload","要上传的兼容的文件扩展名"
"Maximum image width","最大图像宽度"
"Maximum image height","最大图像的高度"
"Maximum number of characters:","最大字符数:"
"start typing to search template","开始键入搜索模板"
"Product online","产品在线"
"Product offline","产品脱机"
"Product online status","产品在线状态"
"Manage Stock","数量增加"
"Qty","数量"
"Out-of-Stock Threshold","股份制阈值"
"Minimum Qty Allowed in Shopping Cart","购物车中允许的最小数量"
"Maximum Qty Allowed in Shopping Cart","购物车中允许的最大数量"
"Qty Uses Decimals","数量使用小数"
"Backorders","延期交货"
"Notify for Quantity Below","对于下面的数量通知"
"Enable Qty Increments","启用数量增量"
"Qty Increments","数量的增量"
"Stock Availability","库存"
"In Stock","有货"
"Out of Stock","缺货"
"Add Product To Websites","向网站中添加产品"
"Remove Product From Websites","从网站中删除产品"
"To hide an item in catalog or search results, set the status to ""Disabled"".","若要隐藏目录或搜索结果中的项目，请将状态设置为""禁用""。"
"We can't save custom-defined options for bundles with dynamic pricing.","我们无法保存自定义选项为束与动态定价。"
"Delete Custom Option","删除自定义选项"
"Sort Custom Options","自定义的排序选项"
"Option Title","新选项"
"Input Type","输入类型"
"Required","必填"
"Price Type","价格类型"
"Compatible File Extensions","兼容的文件扩展名"
"Maximum Image Size","最大图像大小"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px。</span>"
"Please leave blank if it is not an image.","请留下空白，如果它不是一个图像。"
"Title","标题"
"Sort Custom Option","排序的自定义选项"
"Max Characters","最大字符数"
"Customer Group","客户组"
"Item Price","项目价格"
"Action","操作"
"and above","及以上"
"Delete Tier","删除层"
"Product In Websites","在网站的产品"
"(Copy data from: %1)","(将数据从复制: %1)"
"Alt Text","Alt 文本"
"Role","职能"
"Hide from Product Page","从产品页面隐藏"
"Close panel","关闭面板"
"Product Alerts","产品警报"
"Allow Multiple Boxes for Shipping.","允许多个箱运输"
"start typing to search attribute","开始键入搜索属性"
"Basic Settings","基本设置"
"Advanced Settings","高级设置"
"Changes have been made to this section that have not been saved.","已更改尚未保存此节。"
"This tab contains invalid data. Please resolve this before saving.","此选项卡包含无效数据。请在保存前解决此问题。"
"Actions","动作"
"Mass Actions","批量操作"
"Select All","选择全部"
"Unselect All","取消全选"
"Select Visible","选择可见"
"Unselect Visible","取消选择可见"
"Special Price","特殊价格"
"Regular Price","定期的价格"
"Buy %1 for: ","买的 %1:"
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","买 %2 每个 %1 和 <strong class=""benefit""> save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
"Buy %1 for %2 each","购买每个 %2 的 %1"
"Shop By","清除全部"
"Shopping Options","购物的选项"
"Compare Products","比较产品"
"Print This Page","打印此页"
"Remove Product","删除产品"
"Add to Cart","添加到购物车"
"In stock","有货"
"Out of stock","缺货"
"Add to Wish List","添加到收藏夹"
"You have no items to compare.","你有没有要比较的项目。"
"Remove This Item","删除该内容"
"Compare","比较"
"Clear All","全部清除"
"Prev","上一页"
"Next","下一个"
"We can't find products matching the selection.","我们找不到选择匹配的产品。"
"Add to Compare","添加并比较"
"Learn More","了解更多"
"We found other products you might like!","我们发现你可能会喜欢其他产品!"
"More Choices:","更多的选择:"
"Check items to add to the cart or","检查物品添加到购物车或"
"select all","全选"
"Items %1-%2 of %3","项目 %1%2 的 %3"
"%1 Item","%1 项目"
"%1 Items","%1 项目"
"Show","显示"
"per page","每页"
"Sort By","按排序"
"Set Ascending Direction","设置提升方向"
"Set Descending Direction","设置降序方向"
"View as","视图"
"More Information","更多信息"
"Loading...","加载 。。。"
"* Required Fields","*必要字段"
"Availability","库存"
"Warning message","警告消息"
"Ok","OK"
"Cancel","保存"
"Submit","提交"
"We don't recognize or support this file extension type.","我们不承认或支持该文件扩展类型。"
"Configure Product","配置产品"
"OK","OK"
"Select type of option.","选择选项的类型。"
"Please add rows to option.","请将行添加到选项。"
"New Option","新的选项"
"Select Product","选择产品"
"Please select items.","请选择产品"
"Choose existing category.","选择现有的类别。"
"Create Category","创建类别"
"Image Detail","图像细节"
"unselect all","取消全选"
"Small","Small"
"Main","Main"
"Thumbnail","缩略图"
"Custom image","Custom image"
"Product Fields Auto-Generation","字段自动生成产品"
"Mask for SKU","SKU 的掩码"
"Use {{name}} as Product Name placeholder","使用 {{name}} 作为产品名称的占位符"
"Mask for Meta Title","掩码 Meta 标题"
"Mask for Meta Keywords","Meta 关键字掩码"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","使用 {{name}} 作为产品名称或 {{sku}} 作为产品 SKU 占位符"
"Mask for Meta Description","Meta 描述掩码"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","使用 {{name}} 和 {{description}} 作为产品名称和产品描述占位符"
"Storefront","前端"
"List Mode","列表模式"
"Products per Page on Grid Allowed Values","每页网格产品允许值"
"Comma-separated.","以逗号分隔。"
"Products per Page on Grid Default Value","每页网格产品默认值"
"Must be in the allowed values list","必须在允许的值列表中"
"Products per Page on List Allowed Values","每页列表产品允许值"
"Products per Page on List Default Value","每页列表产品默认值"
"Use Flat Catalog Category","使用平面目录类别"
"Use Flat Catalog Product","使用平面目录产品"
"Product Listing Sort by","产品列表排序按"
"Allow All Products per Page","允许每页中的所有产品"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","是否显示在""每页显示 X""下拉列表中的""全部""选项"
"Allow Dynamic Media URLs in Products and Categories","允许动态媒体 Url 中的产品和类别"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","例如 {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}。解析影响的动态指令目录性能。"
"Product Image Placeholders","产品图像占位符"
"Search Engine Optimization","搜索引擎的优化"
"Page Title Separator","页面标题分隔符。"
"Use Canonical Link Meta Tag For Categories","使用标准连接元标签的类别"
"Use Canonical Link Meta Tag For Products","为产品使用标准连接元标签"
"Catalog Price Scope","目录价格范围"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","这定义基础货币范围 (""Currency Setup"" > ""Currency Options"" > ""Base Currency"")。"
"Category Top Navigation","类别顶部导航"
"Maximal Depth","最大深度"
"Date & Time Custom Options","日期及时间的自定义选项"
"Use JavaScript Calendar","使用 JavaScript 日历"
"Date Fields Order","日期字段排序。"
"Time Format","时间格式"
"Year Range","年的范围内"
"Please use a four-digit year format.","请使用四位数年份格式。"
"Product Image Watermarks","产品图像水印"
"Watermark Default Size","水印默认大小"
"Watermark Opacity, Percent","水印不透明度百分比"
"Watermark","水印"
"Watermark Position","水印位置"
"Use Static URLs for Media Content in WYSIWYG for Catalog","使用静态 Url 的媒体内容所见即所得为目录"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","这仅适用于目录的产品和类别。媒体内容将作为静态 URL 插入编辑器。如果系统设置的基准 URL 的变化，不会更新媒体内容。"
"Top Level Category","最高层次的范畴"
"Product Flat Data","产品平面数据"
"Reorganize EAV product structure to flat structure","重新整理 EAV 产品结构为平面结构"
"Category Flat Data","类别平面数据"
"Reorganize EAV category structure to flat structure","重新整理 EAV 分类结构为平面结构"
"Indexed category/products association","索引的类别产品协会"
"Product Categories","产品类别"
"Indexed product/categories association","索引的产品协会"
"Product Price","产品价格"
"Index product prices","索引产品价格"
"Product EAV","EAV 产品"
"Index product EAV","索引产品 EAV"
"Catalog New Products List","新的产品目录"
"List of Products that are set as New","设置为新的产品的列表"
"Display Type","显示类型"
"All products - recently added products, New products - products marked as new","所有产品-最近添加的产品，新产品-标记为新的产品"
"All products","所有产品"
"New products","新产品"
